B_0001,Title,Score,Rating,Genre,Directed By,Written By,Box Office,Release Date,Runtime,Studio
B_0139,The Killing of a Sacred Deer,79,R,Drama,Yorgos Lanthimos,Yorgos Lanthimos;Efthimis Filippou,1955883,2017-10-20,119,A24
B_0140,Happy Death Day,71,PG-13,Horror,Christopher Landon,Scott Lobdell,55398005,2017-10-13,NA,Universal Studios
B_0141,9/11,11,R,Drama,Martin Guigui,Martin Guigui;Steven James Golebiowski,120500,2017-09-08,94,Atlas Distribution
B_0142,Loving Vincent,84,PG-13,Animation;Drama,Dorota Kobiela;Hugh Welchman,Dorota Kobiela;Hugh Welchman;Jacek Dehnel,6388510,2017-09-22,NA,Good Deed Entertainment
B_0143,Red Trees,56,NOT RATED,Documentary,Marina Willer,Marina Willer;Brian Eley;Leena TelÃÂ©n,10180,2017-09-15,87,Cohen Media
B_0144,Inside,25,NOT RATED,Horror;Mystery & Suspense,Miguel Ãngel Vivas,Manu Diez;Jaume BalaguerÃÂ³;Alexandre Bustillo;Julien Maury,NA,2018-01-12,100,
B_0145,The Final Year,84,NOT RATED,Documentary,Greg Barker,NA,NA,2018-01-19,89,Magnolia Pictures
B_0146,The Mountain Between Us,41,PG-13,Drama;Romance,Hany Abu-Assad,J. Mills Goodloe;Chris Weitz,29669726,2017-10-06,100,20th Century Fox
B_0147,American Made,86,R,Action & Adventure;Drama;Mystery & Suspense,Doug Liman,Gary Spinelli,51071805,2017-09-29,115,Universal Pictures
B_0148,Rebel in the Rye,28,PG-13,Drama,Danny Strong,Danny Strong,354363,2017-09-08,109,
B_0149,Mark Felt: The Man Who Brought Down the White House,36,PG-13,Drama,Peter Landesman,Peter Landesman,766428,2017-09-29,NA,Sony Pictures Classics
B_0150,Battle of the Sexes,85,PG-13,Comedy;Drama;Sports & Fitness,Jonathan Dayton;Valerie Faris,Simon Beaufoy,12552907,2017-09-29,121,Fox Searchlight Pictures
B_0151,Una,75,R,Drama,Benedict Andrews,David Harrower,NA,2017-10-06,94,Swen Releasing
B_0152,Mayhem,83,NOT RATED,Action & Adventure;Horror,Joe Lynch (V),Matias Caruso,NA,2017-11-10,NA,
B_0153,It,85,R,Drama;Horror;Mystery & Suspense,Andy Muschietti,Chase Palmer;Cary Joji Fukunaga;Gary Dauberman,326898358,2017-09-08,135,Warner Bros. Pictures
B_0154,Breathe,66,PG-13,Drama;Romance,Andy Serkis,William Nicholson,475685,2017-10-13,NA,
B_0155,Misfortune,20,NOT RATED,Mystery & Suspense,Desmond Devenish,Desmond Devenish,NA,2016-08-05,90,
